"2022 College Graduate Career Jobs — Hiring & Layoff Data (US) [CPI-Adjusted to 2025 USD, factor=1.0998]",,,,,
#,Job Title,Industry / Category,Avg. Salary (2025 USD),# Hired in 2022,# Fired / Laid Off in 2022
46.0,NLP Engineer,Technology,183742.54,5272.0,660.0
47.0,AR/VR Developer,Technology,146463.95,4907.0,332.0
48.0,Quantum Computing Researcher,Technology,208415.68,1198.0,131.0
49.0,IT Auditor,Technology,105039.26,3836.0,756.0
50.0,Technical Writer,Technology,87817.0,6103.0,1118.0
51.0,Investment Banker,Finance,153521.12,5695.0,1040.0
52.0,Financial Analyst,Finance,86085.98,7170.0,705.0
53.0,Portfolio Manager,Finance,175781.37,3388.0,555.0
54.0,Equity Research Analyst,Finance,115204.35,3383.0,1242.0
55.0,Risk Analyst,Finance,96483.12,4092.0,799.0
56.0,Credit Analyst,Finance,82464.47,3913.0,675.0
57.0,Loan Officer,Finance,73841.24,5071.0,743.0
58.0,Financial Planner,Finance,89716.29,5613.0,1299.0
59.0,Wealth Manager,Finance,129214.2,3787.0,361.0
60.0,Actuary,Finance,120285.24,3605.0,478.0
61.0,Quantitative Analyst,Finance,174234.01,4089.0,1267.0
62.0,Trader,Finance,154251.36,4383.0,1125.0
63.0,Hedge Fund Analyst,Finance,153340.75,2598.0,693.0
64.0,Private Equity Analyst,Finance,141424.85,2231.0,383.0
65.0,Venture Capital Analyst,Finance,130449.23,1820.0,337.0
66.0,Corporate Finance Analyst,Finance,96105.9,5465.0,1691.0
67.0,Treasury Analyst,Finance,85274.36,3659.0,467.0
68.0,Tax Associate,Finance,80548.68,4952.0,529.0
69.0,Accountant (CPA),Finance,78143.51,6721.0,923.0
70.0,Auditor,Finance,73538.81,5799.0,755.0
71.0,Forensic Accountant,Finance,100573.13,2532.0,388.0
72.0,Controller,Finance,152548.93,2962.0,627.0
73.0,CFO,Finance,272814.37,1661.0,378.0
74.0,Compliance Officer,Finance,108304.45,4639.0,494.0
75.0,Underwriter,Finance,93683.13,3732.0,654.0
76.0,Insurance Agent,Finance,67862.94,8280.0,1149.0
77.0,Claims Adjuster,Finance,64367.9,5423.0,1765.0
78.0,Mortgage Broker,Finance,85662.57,4704.0,845.0
79.0,Real Estate Analyst,Finance,95210.7,4118.0,442.0
80.0,Budget Analyst,Finance,84281.27,4748.0,649.0
81.0,Economic Consultant,Finance,116541.66,2678.0,443.0
82.0,Economist,Finance,112431.85,2692.0,287.0
83.0,Financial Examiner,Finance,86113.47,3277.0,532.0
84.0,Bookkeeper,Finance,49664.1,4087.0,1310.0
85.0,Payroll Specialist,Finance,56527.71,3962.0,830.0
86.0,Physician (General Practice),Healthcare,247389.0,2955.0,204.0
87.0,Surgeon,Healthcare,387487.54,2057.0,359.0
88.0,Psychiatrist,Healthcare,278600.22,2406.0,256.0
89.0,Pediatrician,Healthcare,229159.37,2588.0,126.0
90.0,Cardiologist,Healthcare,449517.35,1275.0,41.0
91.0,Dermatologist,Healthcare,402792.91,1190.0,51.0
92.0,Neurologist,Healthcare,334683.62,1628.0,182.0
93.0,Radiologist,Healthcare,426469.66,1291.0,172.0
94.0,Anesthesiologist,Healthcare,401359.92,1494.0,131.0
95.0,Oncologist,Healthcare,368639.84,1736.0,70.0
96.0,Orthopedic Surgeon,Healthcare,493942.19,1031.0,69.0
97.0,Emergency Medicine Physician,Healthcare,343525.7,1888.0,274.0
98.0,Nurse Practitioner,Healthcare,121959.08,18272.0,1631.0
99.0,Registered Nurse,Healthcare,85556.99,45911.0,5545.0
100.0,Physician Assistant,Healthcare,130265.57,10199.0,1302.0
101.0,Pharmacist,Healthcare,127244.53,6600.0,211.0
102.0,Physical Therapist,Healthcare,94125.23,9636.0,887.0
103.0,Occupational Therapist,Healthcare,92431.6,8905.0,879.0
104.0,Speech-Language Pathologist,Healthcare,88934.36,6343.0,608.0
105.0,Dental Hygienist,Healthcare,78436.04,7299.0,441.0
106.0,Dentist,Healthcare,183257.55,4533.0,472.0
107.0,Optometrist,Healthcare,131961.4,4033.0,183.0
108.0,Chiropractor,Healthcare,85772.55,3735.0,343.0
109.0,Veterinarian,Healthcare,129220.8,3562.0,290.0
110.0,Radiologic Technologist,Healthcare,67849.75,7191.0,1073.0
111.0,Medical Laboratory Scientist,Healthcare,73947.92,7064.0,884.0
112.0,Clinical Social Worker,Healthcare,63635.46,8980.0,541.0
113.0,Respiratory Therapist,Healthcare,70703.62,5703.0,487.0
114.0,Dietitian / Nutritionist,Healthcare,67831.05,5654.0,309.0
115.0,Healthcare Administrator,Healthcare,108584.89,8442.0,1303.0
116.0,Medical Coder,Healthcare,52889.7,6320.0,903.0
117.0,Medical Transcriptionist,Healthcare,42404.58,2865.0,206.0
118.0,Genetic Counselor,Healthcare,89400.66,2205.0,309.0
119.0,Biomedical Engineer,Healthcare,102656.08,4528.0,486.0
120.0,Clinical Research Coordinator,Healthcare,64982.67,5445.0,339.0
121.0,Attorney (Corporate Law),Legal,185708.92,4632.0,533.0
122.0,Attorney (Criminal Defense),Legal,79099.2,3872.0,567.0
123.0,Attorney (Family Law),Legal,75434.8,4296.0,582.0
124.0,Attorney (Immigration),Legal,69085.88,3367.0,372.0
125.0,Attorney (Intellectual Property),Legal,193044.32,2830.0,102.0
126.0,Attorney (Real Estate),Legal,97232.06,3277.0,312.0
127.0,Attorney (Tax Law),Legal,148380.83,2531.0,94.0
128.0,Attorney (Environmental Law),Legal,87253.93,2243.0,398.0
129.0,Public Defender,Legal,59925.97,3292.0,608.0
130.0,Prosecutor / District Attorney,Legal,75160.96,2848.0,353.0
131.0,Judge,Legal,147512.02,1265.0,107.0
132.0,Paralegal,Legal,56482.62,7589.0,324.0
133.0,Legal Secretary,Legal,48530.25,5854.0,904.0
134.0,Compliance Manager,Legal,121275.03,3870.0,581.0
135.0,Contract Manager,Legal,104339.81,4453.0,204.0
136.0,Legal Analyst,Legal,72726.09,3808.0,333.0
137.0,Patent Agent,Legal,111134.13,2116.0,135.0
138.0,Arbitrator / Mediator,Legal,92928.69,1914.0,252.0
139.0,Title Examiner,Legal,61647.09,2898.0,416.0
140.0,Court Reporter,Legal,64386.6,2189.0,139.0
141.0,Elementary School Teacher,Education,49038.34,30327.0,3117.0
142.0,Middle School Teacher,Education,53693.62,17534.0,2341.0
143.0,High School Teacher,Education,55068.32,23555.0,1545.0
144.0,Special Education Teacher,Education,59355.19,13014.0,1957.0
145.0,School Counselor,Education,61567.91,9585.0,842.0
146.0,School Psychologist,Education,81576.96,5106.0,313.0
147.0,Principal,Education,100455.46,4230.0,415.0
148.0,University Professor,Education,111620.23,8748.0,1084.0
149.0,College Lecturer,Education,65740.4,7069.0,477.0
150.0,Academic Advisor,Education,51649.17,7575.0,570.0
151.0,Curriculum Developer,Education,74391.12,4316.0,815.0
152.0,Instructional Designer,Education,81342.71,5553.0,807.0
153.0,ESL Teacher,Education,48225.61,9255.0,902.0
154.0,Librarian,Education,59385.99,5041.0,562.0
155.0,Education Administrator,Education,82385.28,5239.0,270.0
156.0,Tutoring Center Director,Education,63313.23,4023.0,225.0
157.0,Corporate Trainer,Education,72903.15,6312.0,455.0
158.0,E-Learning Developer,Education,86873.41,4238.0,424.0
159.0,Museum Educator,Education,48639.12,3630.0,286.0
160.0,Early Childhood Educator,Education,38668.69,16119.0,1014.0
161.0,Marketing Manager,Marketing,116685.73,9239.0,556.0
162.0,Digital Marketing Specialist,Marketing,76369.59,13282.0,1661.0
163.0,SEO Specialist,Marketing,72809.67,9608.0,534.0
164.0,Content Marketing Manager,Marketing,81837.6,9118.0,1761.0
165.0,Social Media Manager,Marketing,62361.94,15165.0,1824.0
166.0,Brand Manager,Marketing,99653.73,6779.0,373.0
167.0,Advertising Manager,Marketing,106134.62,5703.0,482.0
168.0,Market Research Analyst,Marketing,67895.94,6762.0,1055.0
169.0,Public Relations Specialist,Marketing,63745.44,6651.0,398.0
170.0,Communications Director,Marketing,126550.58,4503.0,256.0
171.0,Copywriter,Marketing,67811.25,9925.0,1905.0
172.0,Content Strategist,Marketing,81157.95,7562.0,678.0
173.0,Growth Hacker,Marketing,90515.82,5451.0,798.0
174.0,Email Marketing Specialist,Marketing,64700.03,7868.0,1202.0
175.0,Influencer Marketing Manager,Marketing,73296.86,5973.0,775.0
176.0,Event Planner,Marketing,53068.96,8447.0,498.0
177.0,Media Buyer,Marketing,69549.98,4970.0,257.0
178.0,Product Marketing Manager,Marketing,117876.77,8235.0,948.0
179.0,Creative Director,Marketing,153103.21,4266.0,408.0
180.0,Graphic Designer,Marketing,61417.24,10067.0,1137.0
181.0,Video Producer,Marketing,75195.05,8675.0,1074.0
182.0,Podcast Producer,Marketing,55894.25,4633.0,552.0
183.0,Photojournalist,Marketing,48232.21,2968.0,577.0
184.0,Animator,Marketing,73815.95,6027.0,226.0
185.0,Motion Graphics Designer,Marketing,77464.95,5062.0,531.0
186.0,Biologist,Science,83563.13,4027.0,419.0
187.0,Chemist,Science,78020.33,5011.0,760.0
188.0,Physicist,Science,100853.57,2545.0,154.0
189.0,Environmental Scientist,Science,75211.54,5537.0,351.0
190.0,Geologist,Science,90026.42,4388.0,321.0
191.0,Astronomer,Science,119935.52,1145.0,116.0
192.0,Marine Biologist,Science,69483.99,2117.0,148.0
193.0,Ecologist,Science,68298.45,3478.0,246.0
194.0,Neuroscientist,Science,94708.1,2605.0,480.0
195.0,Epidemiologist,Science,88870.57,3379.0,365.0
196.0,Forensic Scientist,Science,67432.94,3955.0,669.0
197.0,Microbiologist,Science,81648.44,3788.0,395.0
198.0,Biochemist,Science,87228.63,4230.0,177.0
199.0,Agricultural Scientist,Science,66923.75,4084.0,826.0
200.0,Food Scientist,Science,76623.64,4675.0,591.0
201.0,Materials Scientist,Science,91268.05,3521.0,585.0
202.0,Nanotechnologist,Science,103033.29,1829.0,334.0
203.0,Toxicologist,Science,80106.58,2624.0,463.0
204.0,Clinical Psychologist,Science,92997.98,5850.0,447.0
205.0,Research Psychologist,Science,83541.13,3469.0,338.0
206.0,Sociologist,Science,71927.66,2889.0,182.0
207.0,Anthropologist,Science,64857.3,2376.0,243.0
208.0,Archaeologist,Science,62487.31,2492.0,125.0
209.0,Political Scientist,Science,112457.15,2293.0,211.0
210.0,Statistician,Science,103639.26,4777.0,914.0
211.0,Biostatistician,Science,109256.84,3373.0,303.0
212.0,Computational Biologist,Science,116261.22,2501.0,291.0
213.0,Pharmacologist,Science,98073.37,2569.0,263.0
214.0,Immunologist,Science,105911.37,2455.0,231.0
215.0,Virologist,Science,98428.6,2493.0,347.0
216.0,Mechanical Engineer,Engineering,100664.41,7134.0,1002.0
217.0,Electrical Engineer,Engineering,104053.87,7724.0,936.0
218.0,Civil Engineer,Engineering,93631.44,8656.0,997.0
219.0,Chemical Engineer,Engineering,113033.42,5485.0,364.0
220.0,Aerospace Engineer,Engineering,124748.07,3915.0,294.0
221.0,Nuclear Engineer,Engineering,122540.85,1961.0,243.0
222.0,Industrial Engineer,Engineering,94705.91,5478.0,705.0
223.0,Structural Engineer,Engineering,100094.73,4872.0,699.0
224.0,Environmental Engineer,Engineering,90361.85,4754.0,655.0
225.0,Materials Engineer,Engineering,98230.64,3911.0,143.0
226.0,Petroleum Engineer,Engineering,146005.35,3037.0,355.0
227.0,Mining Engineer,Engineering,119366.94,2472.0,255.0
228.0,Biomedical Engineer (Device),Engineering,107140.9,3803.0,576.0
229.0,Agricultural Engineer,Engineering,83423.46,2581.0,200.0
230.0,Marine Engineer,Engineering,109745.13,2231.0,409.0
231.0,Geotechnical Engineer,Engineering,92949.59,3007.0,176.0
232.0,Transportation Engineer,Engineering,88817.79,4047.0,301.0
233.0,Water Resources Engineer,Engineering,89277.49,3823.0,479.0
234.0,Acoustical Engineer,Engineering,96005.82,1852.0,268.0
235.0,Optical Engineer,Engineering,110127.85,2396.0,144.0
236.0,Manufacturing Engineer,Engineering,93276.22,5161.0,337.0
237.0,Quality Engineer,Engineering,86376.32,5559.0,791.0
238.0,Process Engineer,Engineering,97008.8,5380.0,297.0
239.0,Safety Engineer,Engineering,93035.37,3880.0,531.0
240.0,Packaging Engineer,Engineering,79414.83,3350.0,491.0
241.0,Architectural Engineer,Engineering,84881.74,3035.0,280.0
242.0,Management Consultant,Business,151005.96,7012.0,1221.0
243.0,Business Analyst,Business,93161.84,10049.0,1074.0
244.0,Operations Manager,Business,106459.05,9291.0,1466.0
245.0,Supply Chain Manager,Business,114514.8,6998.0,382.0
246.0,Logistics Coordinator,Business,63206.56,7372.0,1069.0
247.0,Procurement Manager,Business,105646.33,5862.0,471.0
248.0,Human Resources Manager,Business,102789.15,8271.0,623.0
249.0,Recruiter,Business,66087.93,12484.0,1355.0
250.0,Talent Acquisition Specialist,Business,76108.95,10210.0,904.0
251.0,Training & Development Manager,Business,89535.93,4896.0,391.0
252.0,Compensation Analyst,Business,82508.46,5015.0,864.0
253.0,Benefits Administrator,Business,61529.42,4556.0,225.0
254.0,CEO,Business,388222.18,1209.0,147.0
255.0,COO,Business,297331.34,1405.0,212.0
256.0,CMO,Business,260082.44,1613.0,251.0
257.0,Strategy Consultant,Business,168879.28,4628.0,235.0
258.0,Change Management Consultant,Business,150392.3,4099.0,275.0
259.0,Account Manager,Business,74614.37,11185.0,1000.0
260.0,Sales Representative,Business,63259.34,18909.0,2462.0
261.0,Sales Manager,Business,109541.68,9377.0,1238.0
262.0,Business Development Manager,Business,116730.82,7125.0,921.0
263.0,Entrepreneur / Startup Founder,Business,71301.89,5778.0,513.0
264.0,Franchise Owner,Business,82652.53,5005.0,314.0
265.0,Retail Manager,Business,51740.45,10201.0,1506.0
266.0,Store Manager,Business,54731.8,8700.0,1196.0
267.0,E-commerce Manager,Business,85804.44,6944.0,1027.0
268.0,Customer Success Manager,Business,79914.12,8104.0,1532.0
269.0,Customer Service Representative,Business,43861.76,23107.0,2840.0
270.0,Office Manager,Business,58325.82,8648.0,346.0
271.0,Executive Assistant,Business,66191.31,7221.0,904.0
272.0,Architect,Architecture,88981.65,4464.0,326.0
273.0,Urban Planner,Architecture,80719.15,3315.0,481.0
274.0,Landscape Architect,Architecture,74186.57,3176.0,594.0
275.0,Interior Designer,Architecture,61961.63,5997.0,319.0
276.0,Industrial Designer,Architecture,73630.09,4060.0,229.0
277.0,Fashion Designer,Architecture,56440.83,5143.0,274.0
278.0,Furniture Designer,Architecture,52173.75,2863.0,353.0
279.0,Jewelry Designer,Architecture,49184.6,2510.0,175.0
280.0,Textile Designer,Architecture,52888.6,3114.0,326.0
281.0,Web Designer,Architecture,68990.2,7941.0,1130.0
282.0,3D Modeler,Architecture,62750.15,4668.0,289.0
283.0,CAD Designer,Architecture,65920.76,5204.0,619.0
284.0,Environmental Designer,Architecture,67648.49,2763.0,183.0
285.0,Exhibition Designer,Architecture,58605.16,2512.0,295.0
286.0,Lighting Designer,Architecture,65039.86,2988.0,536.0
287.0,Government Policy Analyst,Government,85823.14,5315.0,829.0
288.0,Intelligence Analyst,Government,87845.6,3992.0,160.0
289.0,Foreign Service Officer,Government,78820.96,2223.0,173.0
290.0,Military Officer,Government,92518.48,8962.0,596.0
291.0,FBI Agent,Government,95838.66,1760.0,74.0
292.0,CIA Analyst,Government,91736.55,1655.0,197.0
293.0,TSA Officer,Government,52325.52,6661.0,735.0
294.0,Customs Officer,Government,63039.39,5088.0,285.0
295.0,Police Officer,Government,61221.49,12400.0,1497.0
296.0,Firefighter,Government,58308.22,8602.0,923.0
297.0,Paramedic / EMT,Government,49164.81,10670.0,1070.0
298.0,Social Worker,Government,51797.64,12833.0,502.0
299.0,Urban Planner (Government),Government,79276.26,3490.0,157.0
300.0,Environmental Regulator,Government,72859.16,2747.0,433.0
301.0,Congressional Staffer,Government,52439.9,4181.0,603.0
302.0,City Planner,Government,79338.95,2769.0,278.0
303.0,Public Health Administrator,Government,84510.02,3612.0,560.0
304.0,State Auditor,Government,74628.67,2570.0,290.0
305.0,Tax Examiner (IRS),Government,61507.42,3906.0,240.0
306.0,Immigration Officer,Government,70163.64,3382.0,198.0
307.0,Journalist,Media,52722.54,4896.0,765.0
308.0,News Anchor,Media,67503.32,2605.0,1145.0
309.0,Radio Host,Media,54202.81,2169.0,784.0
310.0,Film Director,Media,91623.28,2482.0,1264.0
311.0,Screenwriter,Media,78866.05,2878.0,799.0
312.0,Film Editor,Media,71547.14,3205.0,788.0
313.0,Camera Operator,Media,60023.85,4298.0,554.0
314.0,Sound Engineer,Media,62282.76,3200.0,680.0
315.0,Music Producer,Media,83290.39,3444.0,1366.0
316.0,Actor,Media,48663.32,3946.0,1471.0
317.0,Voice Actor,Media,53342.8,3018.0,433.0
318.0,Stunt Coordinator,Media,73253.97,1457.0,428.0
319.0,Game Designer,Media,90140.8,4392.0,790.0
320.0,Esports Manager,Media,71360.18,2278.0,1354.0
321.0,Sports Analyst,Media,70202.13,2957.0,1475.0
322.0,Sports Broadcaster,Media,73456.33,1860.0,869.0
323.0,Sportswriter,Media,53000.77,2442.0,880.0
324.0,Book Editor,Media,59360.69,2698.0,791.0
325.0,Literary Agent,Media,62454.32,2559.0,255.0
326.0,Publishing Manager,Media,75058.68,2489.0,1233.0
327.0,YouTube Content Creator,Media,57514.19,3245.0,725.0
328.0,Podcast Host,Media,49002.04,3576.0,1048.0
329.0,Streaming Personality,Media,54255.6,2922.0,1480.0
330.0,Social Media Influencer,Media,63451.8,3641.0,1213.0
331.0,Photographer,Media,48531.35,4211.0,1757.0
332.0,Videographer,Media,56367.14,4630.0,650.0
333.0,Nonprofit Program Manager,Nonprofit,61848.35,5338.0,836.0
334.0,Grant Writer,Nonprofit,58985.67,4184.0,265.0
335.0,Development Director,Nonprofit,88146.93,3507.0,628.0
336.0,Volunteer Coordinator,Nonprofit,46491.29,4275.0,797.0
337.0,Community Organizer,Nonprofit,48129.93,5135.0,417.0
338.0,Advocacy Manager,Nonprofit,64062.17,3349.0,623.0
339.0,International Aid Worker,Nonprofit,54951.75,2792.0,399.0
340.0,Environmental Activist,Nonprofit,48644.62,2556.0,281.0
341.0,Fundraising Manager,Nonprofit,72807.47,3793.0,680.0
342.0,NGO Director,Nonprofit,94388.07,2405.0,186.0
343.0,Social Entrepreneur,Nonprofit,63754.24,2646.0,115.0
344.0,Corporate Social Responsibility Manager,Nonprofit,80351.83,3272.0,236.0
345.0,Foundation Program Officer,Nonprofit,80101.08,2791.0,241.0
346.0,Policy Advocate,Nonprofit,64441.59,3456.0,535.0
347.0,Human Rights Lawyer,Nonprofit,67464.83,1872.0,437.0
348.0,Real Estate Agent,Real Estate,75398.5,17222.0,2174.0
349.0,Real Estate Broker,Real Estate,97820.43,8449.0,1528.0
350.0,Property Manager,Real Estate,61242.38,8571.0,1588.0
351.0,Real Estate Developer,Real Estate,147866.15,3565.0,849.0
352.0,Commercial Real Estate Analyst,Real Estate,97839.12,3673.0,507.0
353.0,Appraiser,Real Estate,76840.29,3565.0,958.0
354.0,Mortgage Loan Officer,Real Estate,84957.63,5806.0,477.0
355.0,Title Officer,Real Estate,65095.94,4314.0,1273.0
356.0,Real Estate Attorney,Real Estate,115922.49,2774.0,213.0
357.0,Home Inspector,Real Estate,61316.07,4594.0,1322.0
358.0,Leasing Consultant,Real Estate,47695.53,6479.0,607.0
359.0,HOA Manager,Real Estate,57562.58,3885.0,377.0
360.0,Construction Manager,Trades,106586.62,7011.0,714.0
361.0,Project Manager (Construction),Trades,94911.56,6101.0,770.0
362.0,Electrical Contractor,Trades,84047.02,6943.0,735.0
363.0,Plumbing Contractor,Trades,79187.18,5670.0,788.0
364.0,HVAC Technician,Trades,63510.09,8363.0,770.0
365.0,Welder (Specialized),Trades,69900.8,5442.0,383.0
366.0,Aircraft Mechanic,Trades,82564.55,4408.0,548.0
367.0,Marine Technician,Trades,67369.15,2990.0,212.0
368.0,Wind Turbine Technician,Trades,59034.06,4631.0,454.0
369.0,Solar Panel Installer (Lead),Trades,58357.71,8144.0,333.0
370.0,Strategy Analyst,Consulting,110671.13,4905.0,1150.0
371.0,McKinsey Analyst,Consulting,111396.98,1978.0,228.0
372.0,BCG Analyst,Consulting,105871.78,1682.0,388.0
373.0,Bain Analyst,Consulting,109264.54,1420.0,282.0
374.0,IT Consultant,Consulting,122369.29,8375.0,1283.0
375.0,HR Consultant,Consulting,93239.92,5355.0,557.0
376.0,Financial Consultant,Consulting,101292.37,4998.0,236.0
377.0,Healthcare Consultant,Consulting,119658.38,3572.0,884.0
378.0,Operations Consultant,Consulting,105494.56,4120.0,433.0
379.0,Marketing Consultant,Consulting,94204.41,4462.0,517.0
380.0,Environmental Consultant,Consulting,90256.27,3524.0,491.0
381.0,Risk Consultant,Consulting,97281.55,3497.0,715.0
382.0,Sustainability Consultant,Consulting,91449.51,3913.0,420.0
383.0,Digital Transformation Consultant,Consulting,138852.51,5810.0,485.0
384.0,Hotel Manager,Hospitality,62708.36,10136.0,706.0
385.0,Restaurant Manager,Hospitality,51242.26,12902.0,972.0
386.0,Chef (Executive),Hospitality,74307.54,8699.0,600.0
387.0,Sommelier,Hospitality,55970.13,3973.0,168.0
388.0,Travel Agent,Hospitality,44522.72,5337.0,563.0
389.0,Tour Guide,Hospitality,39081.1,6610.0,637.0
390.0,Event Coordinator,Hospitality,48520.35,12563.0,1073.0
391.0,Wedding Planner,Hospitality,55458.74,6161.0,933.0
392.0,Cruise Director,Hospitality,61385.35,2375.0,295.0
393.0,Casino Manager,Hospitality,76243.12,3436.0,183.0
394.0,Theme Park Manager,Hospitality,69240.94,4104.0,327.0
395.0,Airline Pilot,Hospitality,194267.25,7092.0,219.0
396.0,Flight Attendant,Hospitality,57935.4,9800.0,585.0
397.0,Airport Manager,Hospitality,104677.44,2623.0,232.0
398.0,Personal Trainer,Sports,49241.79,12611.0,1967.0
399.0,Athletic Coach,Sports,53057.96,9243.0,1105.0
400.0,Physical Education Teacher,Sports,53898.18,5764.0,647.0
401.0,Sports Agent,Sports,91299.95,2490.0,253.0
402.0,Sports Marketing Manager,Sports,81729.83,3231.0,245.0
403.0,Athletic Trainer,Sports,54558.04,5733.0,566.0
404.0,Strength & Conditioning Coach,Sports,54286.39,5479.0,747.0
405.0,Sports Psychologist,Sports,86447.8,2755.0,418.0
406.0,Kinesiology Therapist,Sports,63274.74,4463.0,322.0
407.0,Yoga Instructor,Sports,42443.07,7683.0,396.0
408.0,Fitness Director,Sports,69520.28,4911.0,528.0
409.0,Recreation Therapist,Sports,53502.27,5327.0,600.0
410.0,Sports Nutritionist,Sports,64565.86,4277.0,253.0
411.0,Sustainability Manager,Environment,92527.28,5522.0,1017.0
412.0,Environmental Consultant,Environment,82487.56,5279.0,697.0
413.0,Conservation Scientist,Environment,71634.02,3312.0,361.0
414.0,Wildlife Biologist,Environment,68538.2,2924.0,207.0
415.0,Park Ranger,Environment,50323.96,4558.0,290.0
416.0,Climate Scientist,Environment,89380.86,2652.0,106.0
417.0,Renewable Energy Analyst,Environment,83134.22,4652.0,430.0
418.0,Carbon Credits Analyst,Environment,78117.11,3283.0,341.0
419.0,ESG Analyst,Environment,88293.2,5784.0,955.0
420.0,Water Quality Specialist,Environment,75034.48,3499.0,161.0
421.0,Recycling Program Manager,Environment,66539.93,3044.0,263.0
422.0,Green Building Consultant,Environment,78808.86,4139.0,470.0
423.0,Energy Auditor,Environment,68250.06,4132.0,289.0
424.0,Ecological Restoration Specialist,Environment,68222.56,2789.0,464.0
425.0,Librarian (Research),Other,58937.28,3250.0,416.0
426.0,Archivist,Other,56384.74,2550.0,180.0
427.0,Museum Curator,Other,61119.21,2375.0,330.0
428.0,Translator / Interpreter,Other,56851.04,6362.0,300.0
429.0,Sign Language Interpreter,Other,53384.59,4458.0,788.0
430.0,Court Interpreter,Other,59271.61,3780.0,718.0
431.0,Technical Translator,Other,66581.72,4258.0,227.0
432.0,Philosopher (Academic),Other,74957.5,1224.0,98.0
433.0,Ethicist,Other,85202.87,1507.0,114.0
434.0,Think Tank Researcher,Other,78398.65,2419.0,330.0
435.0,Political Campaign Manager,Other,75845.01,3943.0,394.0
436.0,Lobbyist,Other,105599.04,2963.0,163.0
437.0,Speechwriter,Other,81241.53,2694.0,159.0
438.0,Demographer,Other,85752.75,1847.0,283.0
439.0,Geographer,Other,73601.49,2491.0,348.0
440.0,Cartographer,Other,66870.96,1736.0,271.0
441.0,Meteorologist,Other,93436.78,2937.0,278.0
442.0,Oceanographer,Other,80480.5,1542.0,255.0
443.0,Seismologist,Other,81627.55,1212.0,165.0
444.0,Volcanologist,Other,80675.16,744.0,175.0
445.0,Paleontologist,Other,64905.69,651.0,103.0
446.0,Zoologist,Other,70632.14,2357.0,261.0
447.0,Botanist,Other,65646.92,2363.0,406.0
448.0,Entomologist,Other,62023.21,1861.0,198.0
