"2024 College Graduate Career Jobs — Hiring & Layoff Data [CPI-Adjusted to 2025 USD, factor=1.0261]",,,,,
#,Job Title,Industry / Category,Avg. Salary (2025 USD),# Hired in 2024,# Fired / Laid Off in 2024
269.0,Customer Service Representative,Business,43097.86,22000.0,2894.0
270.0,Office Manager,Business,59516.1,7800.0,320.0
271.0,Executive Assistant,Business,66699.08,6800.0,1049.0
272.0,Architect,Architecture,90300.29,4800.0,393.0
273.0,Urban Planner,Architecture,80038.89,3500.0,465.0
274.0,Landscape Architect,Architecture,73882.05,3200.0,548.0
275.0,Interior Designer,Architecture,59516.1,5800.0,341.0
276.0,Industrial Designer,Architecture,73882.05,4200.0,235.0
277.0,Fashion Designer,Architecture,56437.68,4800.0,263.0
278.0,Furniture Designer,Architecture,53359.26,2800.0,328.0
279.0,Jewelry Designer,Architecture,49254.7,2500.0,195.0
280.0,Textile Designer,Architecture,53359.26,2800.0,349.0
281.0,Web Designer,Architecture,69777.49,7800.0,1095.0
282.0,3D Modeler,Architecture,63620.66,4500.0,308.0
283.0,CAD Designer,Architecture,66699.08,5200.0,669.0
284.0,Environmental Designer,Architecture,69777.49,2800.0,215.0
285.0,Exhibition Designer,Architecture,59516.1,2500.0,270.0
286.0,Lighting Designer,Architecture,66699.08,2800.0,466.0
287.0,Government Policy Analyst,Government,84143.45,5200.0,823.0
288.0,Intelligence Analyst,Government,90300.29,3800.0,201.0
289.0,Foreign Service Officer,Government,80038.89,2200.0,218.0
290.0,Military Officer,Government,94404.85,8500.0,669.0
291.0,FBI Agent,Government,97483.26,1800.0,72.0
292.0,CIA Analyst,Government,90300.29,1500.0,221.0
293.0,TSA Officer,Government,53359.26,6200.0,801.0
294.0,Customs Officer,Government,63620.66,4800.0,368.0
295.0,Police Officer,Government,63620.66,12000.0,1725.0
296.0,Firefighter,Government,59516.1,8500.0,996.0
297.0,Paramedic / EMT,Government,49254.7,11000.0,1098.0
298.0,Social Worker,Government,53359.26,12000.0,496.0
299.0,Urban Planner (Government),Government,80038.89,3200.0,161.0
300.0,Environmental Regulator,Government,73882.05,2800.0,458.0
301.0,Congressional Staffer,Government,53359.26,4200.0,699.0
302.0,City Planner,Government,80038.89,2800.0,325.0
303.0,Public Health Administrator,Government,84143.45,3500.0,548.0
304.0,State Auditor,Government,73882.05,2500.0,303.0
305.0,Tax Examiner (IRS),Government,63620.66,3800.0,230.0
306.0,Immigration Officer,Government,69777.49,3200.0,185.0
307.0,Journalist,Media,53359.26,5800.0,482.0
308.0,News Anchor,Media,66699.08,3200.0,530.0
309.0,Radio Host,Media,53359.26,2800.0,424.0
310.0,Film Director,Media,94404.85,2800.0,449.0
311.0,Screenwriter,Media,80038.89,3500.0,580.0
312.0,Film Editor,Media,73882.05,4200.0,291.0
313.0,Camera Operator,Media,59516.1,4800.0,359.0
314.0,Sound Engineer,Media,63620.66,4500.0,244.0
315.0,Music Producer,Media,84143.45,3800.0,567.0
316.0,Actor,Media,49254.7,4500.0,737.0
317.0,Voice Actor,Media,53359.26,3800.0,368.0
318.0,Stunt Coordinator,Media,73882.05,1800.0,228.0
319.0,Game Designer,Media,90300.29,5200.0,320.0
320.0,Esports Manager,Media,73882.05,2800.0,476.0
321.0,Sports Analyst,Media,69777.49,3500.0,563.0
322.0,Sports Broadcaster,Media,73882.05,2500.0,441.0
323.0,Sportswriter,Media,53359.26,3200.0,491.0
324.0,Book Editor,Media,59516.1,3800.0,620.0
325.0,Literary Agent,Media,63620.66,2800.0,121.0
326.0,Publishing Manager,Media,73882.05,3200.0,457.0
327.0,YouTube Content Creator,Media,56437.68,3500.0,302.0
328.0,Podcast Host,Media,49254.7,4200.0,715.0
329.0,Streaming Personality,Media,53359.26,3800.0,578.0
330.0,Social Media Influencer,Media,63620.66,4500.0,724.0
331.0,Photographer,Media,49254.7,5200.0,798.0
332.0,Videographer,Media,56437.68,5800.0,448.0
333.0,Nonprofit Program Manager,Nonprofit,63620.66,5800.0,871.0
334.0,Grant Writer,Nonprofit,59516.1,4200.0,231.0
335.0,Development Director,Nonprofit,90300.29,3800.0,615.0
336.0,Volunteer Coordinator,Nonprofit,46176.28,4500.0,720.0
337.0,Community Organizer,Nonprofit,49254.7,5200.0,369.0
338.0,Advocacy Manager,Nonprofit,66699.08,3800.0,586.0
339.0,International Aid Worker,Nonprofit,56437.68,3200.0,334.0
340.0,Environmental Activist,Nonprofit,49254.7,2800.0,231.0
341.0,Fundraising Manager,Nonprofit,73882.05,4200.0,635.0
342.0,NGO Director,Nonprofit,94404.85,2500.0,179.0
343.0,Social Entrepreneur,Nonprofit,66699.08,2800.0,121.0
344.0,Corporate Social Responsibility Manager,Nonprofit,84143.45,3500.0,234.0
345.0,Foundation Program Officer,Nonprofit,80038.89,2800.0,240.0
346.0,Policy Advocate,Nonprofit,66699.08,3500.0,563.0
347.0,Human Rights Lawyer,Nonprofit,69777.49,2200.0,385.0
348.0,Real Estate Agent,Real Estate,73882.05,18000.0,1423.0
349.0,Real Estate Broker,Real Estate,97483.26,8500.0,1103.0
350.0,Property Manager,Real Estate,59516.1,9200.0,882.0
351.0,Real Estate Developer,Real Estate,148790.25,3500.0,620.0
352.0,Commercial Real Estate Analyst,Real Estate,94404.85,3800.0,437.0
353.0,Appraiser,Real Estate,73882.05,4200.0,720.0
354.0,Mortgage Loan Officer,Real Estate,84143.45,5800.0,325.0
355.0,Title Officer,Real Estate,63620.66,4500.0,791.0
356.0,Real Estate Attorney,Real Estate,114927.64,2800.0,181.0
357.0,Home Inspector,Real Estate,59516.1,4800.0,838.0
358.0,Leasing Consultant,Real Estate,46176.28,6800.0,524.0
359.0,HOA Manager,Real Estate,56437.68,4200.0,231.0
360.0,Construction Manager,Trades,104666.24,6800.0,685.0
361.0,Project Manager (Construction),Trades,97483.26,5800.0,823.0
362.0,Electrical Contractor,Trades,84143.45,7200.0,604.0
363.0,Plumbing Contractor,Trades,76960.47,5800.0,724.0
364.0,HVAC Technician,Trades,63620.66,7500.0,836.0
365.0,Welder (Specialized),Trades,66699.08,5200.0,488.0
366.0,Aircraft Mechanic,Trades,80038.89,4800.0,579.0
367.0,Marine Technician,Trades,66699.08,2800.0,211.0
368.0,Wind Turbine Technician,Trades,59516.1,4200.0,584.0
369.0,Solar Panel Installer (Lead),Trades,56437.68,8500.0,342.0
370.0,Strategy Analyst,Consulting,107744.66,5200.0,881.0
371.0,McKinsey Analyst,Consulting,107744.66,1800.0,207.0
372.0,BCG Analyst,Consulting,104666.24,1600.0,225.0
373.0,Bain Analyst,Consulting,104666.24,1500.0,215.0
374.0,IT Consultant,Consulting,114927.64,7800.0,1044.0
375.0,HR Consultant,Consulting,90300.29,5200.0,473.0
376.0,Financial Consultant,Consulting,100561.68,4800.0,239.0
377.0,Healthcare Consultant,Consulting,114927.64,3800.0,505.0
378.0,Operations Consultant,Consulting,104666.24,4500.0,388.0
379.0,Marketing Consultant,Consulting,90300.29,4800.0,402.0
380.0,Environmental Consultant,Consulting,84143.45,3800.0,603.0
381.0,Risk Consultant,Consulting,97483.26,3500.0,492.0
382.0,Sustainability Consultant,Consulting,87221.87,4200.0,344.0
383.0,Digital Transformation Consultant,Consulting,131345.87,5800.0,483.0
384.0,Hotel Manager,Hospitality,63620.66,7800.0,757.0
385.0,Restaurant Manager,Hospitality,53359.26,11000.0,1059.0
386.0,Chef (Executive),Hospitality,73882.05,6800.0,553.0
387.0,Sommelier,Hospitality,56437.68,3200.0,185.0
388.0,Travel Agent,Hospitality,46176.28,4800.0,474.0
389.0,Tour Guide,Hospitality,38993.31,5200.0,892.0
390.0,Event Coordinator,Hospitality,49254.7,9200.0,1240.0
391.0,Wedding Planner,Hospitality,56437.68,5800.0,965.0
392.0,Cruise Director,Hospitality,63620.66,2200.0,277.0
393.0,Casino Manager,Hospitality,76960.47,2800.0,229.0
394.0,Theme Park Manager,Hospitality,69777.49,3500.0,408.0
395.0,Airline Pilot,Hospitality,200097.23,5800.0,232.0
396.0,Flight Attendant,Hospitality,59516.1,8500.0,681.0
397.0,Airport Manager,Hospitality,104666.24,2200.0,220.0
398.0,Personal Trainer,Sports,49254.7,12000.0,1454.0
399.0,Athletic Coach,Sports,53359.26,8500.0,1119.0
400.0,Physical Education Teacher,Sports,53359.26,5800.0,609.0
401.0,Sports Agent,Sports,94404.85,2800.0,285.0
402.0,Sports Marketing Manager,Sports,80038.89,3500.0,244.0
403.0,Athletic Trainer,Sports,56437.68,6200.0,658.0
404.0,Strength & Conditioning Coach,Sports,53359.26,5800.0,963.0
405.0,Sports Psychologist,Sports,84143.45,2800.0,424.0
406.0,Kinesiology Therapist,Sports,63620.66,4200.0,267.0
407.0,Yoga Instructor,Sports,43097.86,8500.0,440.0
408.0,Fitness Director,Sports,69777.49,4500.0,504.0
409.0,Recreation Therapist,Sports,53359.26,4800.0,617.0
410.0,Sports Nutritionist,Sports,63620.66,3800.0,330.0
411.0,Sustainability Manager,Environment,90300.29,5800.0,896.0
412.0,Environmental Consultant,Environment,84143.45,4800.0,696.0
413.0,Conservation Scientist,Environment,69777.49,3200.0,429.0
414.0,Wildlife Biologist,Environment,66699.08,2800.0,200.0
415.0,Park Ranger,Environment,49254.7,4500.0,305.0
416.0,Climate Scientist,Environment,90300.29,2800.0,121.0
417.0,Renewable Energy Analyst,Environment,84143.45,4800.0,356.0
418.0,Carbon Credits Analyst,Environment,80038.89,3200.0,340.0
419.0,ESG Analyst,Environment,90300.29,5800.0,921.0
420.0,Water Quality Specialist,Environment,73882.05,3500.0,175.0
421.0,Recycling Program Manager,Environment,66699.08,3200.0,313.0
422.0,Green Building Consultant,Environment,80038.89,3800.0,487.0
423.0,Energy Auditor,Environment,69777.49,4200.0,282.0
424.0,Ecological Restoration Specialist,Environment,66699.08,2800.0,384.0
425.0,Librarian (Research),Other,59516.1,3200.0,349.0
426.0,Archivist,Other,56437.68,2500.0,185.0
427.0,Museum Curator,Other,63620.66,2200.0,290.0
428.0,Translator / Interpreter,Other,56437.68,6800.0,277.0
429.0,Sign Language Interpreter,Other,53359.26,4800.0,696.0
430.0,Court Interpreter,Other,59516.1,3500.0,517.0
431.0,Technical Translator,Other,66699.08,3800.0,208.0
432.0,Philosopher (Academic),Other,73882.05,1200.0,119.0
433.0,Ethicist,Other,84143.45,1500.0,96.0
434.0,Think Tank Researcher,Other,80038.89,2200.0,383.0
435.0,Political Campaign Manager,Other,73882.05,3800.0,427.0
436.0,Lobbyist,Other,107744.66,2800.0,131.0
437.0,Speechwriter,Other,80038.89,2500.0,187.0
438.0,Demographer,Other,84143.45,1800.0,285.0
439.0,Geographer,Other,73882.05,2500.0,259.0
440.0,Cartographer,Other,66699.08,1800.0,273.0
441.0,Meteorologist,Other,94404.85,2800.0,373.0
442.0,Oceanographer,Other,80038.89,1500.0,267.0
443.0,Seismologist,Other,84143.45,1200.0,148.0
444.0,Volcanologist,Other,80038.89,800.0,138.0
445.0,Paleontologist,Other,66699.08,600.0,98.0
446.0,Zoologist,Other,69777.49,2200.0,276.0
447.0,Botanist,Other,66699.08,2500.0,351.0
448.0,Entomologist,Other,63620.66,1800.0,199.0
449.0,Ornithologist,Other,66699.08,1500.0,234.0
450.0,Herpetologist,Other,63620.66,1200.0,140.0
